ba_name,freq,load_MW,market,timestamp
CAISO,1hr,20475.0,RT5M,2017-10-02 12:10:00+00:00
CAISO,1hr,24436.0,RT5M,2017-10-02 14:10:00+00:00
CAISO,1hr,22955.0,RT5M,2017-10-03 06:10:00+00:00
CAISO,1hr,25302.0,RT5M,2017-10-02 17:10:00+00:00
CAISO,1hr,27613.0,RT5M,2017-10-02 23:10:00+00:00
CAISO,1hr,20465.0,RT5M,2017-10-02 07:10:00+00:00
CAISO,1hr,26559.0,RT5M,2017-10-02 21:10:00+00:00
CAISO,1hr,19691.0,RT5M,2017-10-02 08:10:00+00:00
CAISO,1hr,19288.0,RT5M,2017-10-02 11:10:00+00:00
CAISO,1hr,22862.0,RT5M,2017-10-02 13:10:00+00:00
CAISO,1hr,26230.0,RT5M,2017-10-02 20:10:00+00:00
CAISO,1hr,28250.0,RT5M,2017-10-03 00:10:00+00:00
CAISO,1hr,29831.0,RT5M,2017-10-03 02:10:00+00:00
CAISO,1hr,29185.0,RT5M,2017-10-03 03:10:00+00:00
CAISO,1hr,19100.0,RT5M,2017-10-02 09:10:00+00:00
CAISO,1hr,18902.0,RT5M,2017-10-02 10:10:00+00:00
CAISO,1hr,27489.0,RT5M,2017-10-03 04:10:00+00:00
CAISO,1hr,24972.0,RT5M,2017-10-02 15:10:00+00:00
CAISO,1hr,27115.0,RT5M,2017-10-02 22:10:00+00:00
CAISO,1hr,25354.0,RT5M,2017-10-03 05:10:00+00:00
CAISO,1hr,25074.0,RT5M,2017-10-02 16:10:00+00:00
CAISO,1hr,28547.0,RT5M,2017-10-03 01:10:00+00:00
CAISO,1hr,25586.0,RT5M,2017-10-02 18:10:00+00:00
CAISO,1hr,25513.0,RT5M,2017-10-02 19:10:00+00:00
CAISO,1hr,25626.0,RT5M,2017-10-02 18:15:00+00:00
CAISO,1hr,25471.0,RT5M,2017-10-02 19:15:00+00:00
CAISO,1hr,23083.0,RT5M,2017-10-02 13:15:00+00:00
CAISO,1hr,19066.0,RT5M,2017-10-02 09:15:00+00:00
CAISO,1hr,26242.0,RT5M,2017-10-02 20:15:00+00:00
CAISO,1hr,27144.0,RT5M,2017-10-02 22:15:00+00:00
CAISO,1hr,20617.0,RT5M,2017-10-02 12:15:00+00:00
CAISO,1hr,25017.0,RT5M,2017-10-02 15:15:00+00:00
CAISO,1hr,25012.0,RT5M,2017-10-02 16:15:00+00:00
CAISO,1hr,28264.0,RT5M,2017-10-03 00:15:00+00:00
CAISO,1hr,22833.0,RT5M,2017-10-03 06:15:00+00:00
CAISO,1hr,19642.0,RT5M,2017-10-02 08:15:00+00:00
CAISO,1hr,18898.0,RT5M,2017-10-02 10:15:00+00:00
CAISO,1hr,25127.0,RT5M,2017-10-03 05:15:00+00:00
CAISO,1hr,20379.0,RT5M,2017-10-02 07:15:00+00:00
CAISO,1hr,24407.0,RT5M,2017-10-02 14:15:00+00:00
CAISO,1hr,28603.0,RT5M,2017-10-03 01:15:00+00:00
CAISO,1hr,29036.0,RT5M,2017-10-03 03:15:00+00:00
CAISO,1hr,25297.0,RT5M,2017-10-02 17:15:00+00:00
CAISO,1hr,26644.0,RT5M,2017-10-02 21:15:00+00:00
CAISO,1hr,27650.0,RT5M,2017-10-02 23:15:00+00:00
CAISO,1hr,29918.0,RT5M,2017-10-03 02:15:00+00:00
CAISO,1hr,27358.0,RT5M,2017-10-03 04:15:00+00:00
CAISO,1hr,19340.0,RT5M,2017-10-02 11:15:00+00:00
CAISO,1hr,23300.0,RT5M,2017-10-02 13:20:00+00:00
CAISO,1hr,24980.0,RT5M,2017-10-02 16:20:00+00:00
CAISO,1hr,28658.0,RT5M,2017-10-03 01:20:00+00:00
